route,source,category,lat,lon,along_track_nm,cross_track_nm,rating,area_m2,note,created_at
C81->KDLH,detected,water,42.41484781685952,-88.15667367354068,6.53,-0.277,5,9015423.5,,2026-09-10T13:11:53+00:00
C81->KDLH,detected,water,42.43698130161795,-88.15744135114882,7.68,0.392,5,1536083.2,,2026-09-10T13:12:01+00:00
C81->KDLH,detected,water,42.52340383854213,-88.24914515018463,14.23,-0.337,5,50939.1,,2026-09-10T13:12:11+00:00
C81->KDLH,detected,water,42.79870589498582,-88.47239272038739,33.47,-0.004,5,315276.3,,2026-09-10T13:12:17+00:00
C81->KDLH,added,water,42.982297711536056,-88.62876892089845,46.47,-0.013,5,,,2026-09-10T13:12:56+00:00
C81->KDLH,added,water,43.13180841997023,-88.75614166259767,57.04,0.01,5,,,2026-09-10T13:13:06+00:00
C81->KDLH,added,water,43.33117156319044,-88.9281463623047,71.18,0.003,5,,,2026-09-10T13:13:12+00:00
C81->KDLH,detected,water,43.58560892711298,-89.13756699995561,88.97,0.439,5,42113.1,,2026-09-10T13:13:23+00:00
C81->KDLH,detected,water,43.79564361754211,-89.33422031687266,104.19,-0.013,5,51301.4,,2026-09-10T13:13:31+00:00
C81->KDLH,added,water,43.87488064391294,-89.40364837646484,109.82,0.007,5,,,2026-09-10T13:13:41+00:00
C81->KDLH,detected,water,44.34147630341422,-89.82411140619321,143.19,-0.135,5,286985.8,,2026-09-10T13:14:07+00:00
C81->KDLH,added,water,44.374913492661456,-89.84996795654297,145.48,0.02,5,,,2026-09-10T13:14:18+00:00
C81->KDLH,added,water,44.36092402899763,-89.83692169189455,144.47,0.035,5,,,2026-09-10T13:14:27+00:00
C81->KDLH,added,water,44.88847192596022,-90.31929016113281,182.26,-0.011,5,,,2026-09-10T13:14:40+00:00
C81->KDLH,detected,water,45.17627220989534,-90.58164275094364,202.81,0.153,5,64586.1,,2026-09-10T13:14:56+00:00
C81->KDLH,added,water,45.20018344323889,-90.60836791992189,204.63,-0.002,5,,,2026-09-10T13:15:04+00:00
C81->KDLH,detected,water,45.568673847488725,-90.9485424266142,231.0,0.238,5,1098252.7,,2026-09-10T13:15:15+00:00
C81->KDLH,detected,water,45.55830486590488,-90.95599494277548,230.65,-0.367,5,241902.7,,2026-09-10T13:15:19+00:00
C81->KDLH,added,water,45.786679041363726,-91.16317749023439,246.88,0.004,5,,,2026-09-10T13:15:31+00:00
C81->KDLH,detected,water,45.924404685910325,-91.2942636850718,256.8,0.049,5,131346.7,,2026-09-10T13:15:34+00:00
C81->KDLH,detected,water,45.88322393014993,-91.24762937984364,253.67,0.291,5,663833.3,,2026-09-10T13:15:37+00:00
C81->KDLH,added,water,46.02557483126793,-91.44538879394531,265.36,-1.796,5,,,2026-09-10T13:15:47+00:00
C81->KDLH,added,water,46.09561464508116,-91.45774841308595,269.14,0.126,5,,,2026-09-10T13:15:51+00:00
C81->KDLH,detected,water,46.06555832847446,-91.42526873420266,266.89,0.24,5,537180.9,,2026-09-10T13:15:55+00:00
C81->KDLH,detected,water,46.09682188485079,-91.4724596411781,269.54,-0.341,5,79348.3,,2026-09-10T13:16:01+00:00
C81->KDLH,detected,water,46.09301780155939,-91.47012367327702,269.3,-0.388,5,7105534.1,,2026-09-10T13:16:06+00:00
C81->KDLH,added,water,46.68877997939449,-92.09735870361328,313.48,-1.764,5,,,2026-09-10T13:16:23+00:00
C81->KDLH,detected,water,46.74251816444175,-92.09564989263362,316.1,0.118,5,30217.7,,2026-09-10T13:16:31+00:00
C81->KDLH,detected,town,46.77595564845512,-92.11766711020381,318.27,0.506,5,558341.2,,2026-09-10T13:16:34+00:00
C81->KDLH,detected,town,46.78034183887,-92.13736981761699,318.95,-0.013,5,605728.1,,2026-09-10T13:16:37+00:00
C81->KDLH,detected,water,46.76006570076921,-92.11166976334212,317.34,0.17,5,158643.1,,2026-09-10T13:16:45+00:00
C81->KDLH,added,water,46.532413816559455,-91.88621520996094,300.82,0.128,5,,,2026-09-10T13:17:01+00:00
C81->KDLH,added,water,46.25157368856837,-91.61224365234375,280.49,0.041,5,,,2026-09-10T13:17:24+00:00
C81->KDLH,added,water,44.63592543171159,-90.18745422363283,166.49,-3.585,5,,,2026-09-10T13:17:41+00:00
C81->KDLH,added,water,43.65048501002724,-89.20623779296876,93.86,0.002,5,,,2026-09-10T13:18:11+00:00
C81->KDLH,added,water,42.68041629144622,-88.37196350097658,25.1,0.011,5,,,2026-09-10T13:19:23+00:00
C81->KDLH,added,water,42.583674786918635,-88.29952239990236,18.48,-0.328,5,,,2026-09-10T13:19:38+00:00
C81->KDLH,added,water,44.110514462451455,-89.61341857910158,126.62,-0.008,5,,,2026-09-10T13:20:22+00:00
C81->KDLH,added,water,44.02096532228447,-89.53376770019531,120.24,-0.014,5,,,2026-09-10T13:20:29+00:00
C81->KDLH,added,water,44.17530978512216,-89.67041015625001,131.22,0.025,5,,,2026-09-10T13:20:36+00:00
C81->KDLH,added,water,44.263395969186675,-89.75040435791017,137.53,-0.011,5,,,2026-09-10T13:20:49+00:00
