osm_id,osm_type,category,name,lat,lon,bbox_area_m2,tags,cross_track_nm,along_track_nm,within_preferred_corridor
151484170,node,town,Atlantic,41.403691,-95.0138705,0.0,"{""capital"": ""6"", ""ele"": ""369"", ""gnis:feature_id"": ""454275"", ""name"": ""Atlantic"", ""place"": ""town"", ""population"": ""6792"", ""population:date"": ""2020"", ""source:population"": ""US Census"", ""wikidata"": ""Q756267"", ""wikipedia"": ""en:Atlantic, Iowa""}",0.25620165497189545,61.555480907514756,False
151645731,node,town,Carter Lake,41.2851284,-95.917157,0.0,"{""ele"": ""299"", ""gnis:feature_id"": ""455192"", ""name"": ""Carter Lake"", ""place"": ""town"", ""population"": ""3791"", ""population:date"": ""2020"", ""source:population"": ""US Census"", ""wikidata"": ""Q1944958"", ""wikipedia"": ""en:Carter Lake, Iowa""}",-0.9176798820805755,102.8723072805682,False
50591552,way,lake_or_pond,Duck Pond,41.5323908,-93.64578725336843,8407.842138077844,"{""NHD:ComID"": ""133528010"", ""NHD:FCode"": ""39004"", ""NHD:FDate"": ""2005/04/02"", ""NHD:FTYPE"": ""LakePond"", ""NHD:RESOLUTION"": ""High"", ""NHD:ReachCode"": ""07100008007604"", ""name"": ""Duck Pond"", ""natural"": ""water"", ""source"": ""NHD""}",-0.15811913452309267,0.4754441479868043,True
177084090,way,lake_or_pond,Hidden Pond,41.303903,-95.93207747748636,1917.9124217819615,"{""boat"": ""no"", ""designation"": ""stormwater pond"", ""name"": ""Hidden Pond"", ""natural"": ""water"", ""source"": ""bing"", ""water"": ""pond""}",0.2974649657737508,103.36939617471887,False
177084125,way,lake_or_pond,Folwer's Pond,41.30150855,-95.93183866695489,19529.42567000674,"{""boat"": ""no"", ""name"": ""Folwer's Pond"", ""natural"": ""water"", ""source"": ""bing"", ""water"": ""pond""}",0.15370634124940943,103.38023750571615,True
177084160,way,lake_or_pond,Storz Expy Detention Pond,41.3104974,-95.92224293176797,34168.443663468955,"{""boat"": ""no"", ""name"": ""Storz Expy Detention Pond"", ""natural"": ""water"", ""source"": ""bing"", ""water"": ""reservoir"", ""website"": ""https://mapacog.org/wp-content/uploads/2021/03/ABP-II-Master-Plan-Study.pdf""}",0.6226664547729615,102.8716590904089,False
187757303,way,lake_or_pond,Big Lake,41.29539545,-95.86129411444011,332046.9116276611,"{""boat"": ""no"", ""intermittent"": ""no"", ""name"": ""Big Lake"", ""natural"": ""water"", ""source"": ""bing""}",-0.6836399867395387,100.28844711801692,False
245491192,way,lake_or_pond,Lake Anita,41.424768799999995,-94.77982556085107,2303813.1883313903,"{""ele"": ""387"", ""gnis:feature_id"": ""454193"", ""name"": ""Lake Anita"", ""natural"": ""water"", ""water"": ""reservoir""}",0.058748689504682476,50.94322983364907,True
348450335,way,lake_or_pond,Blank Park Pond,41.52217215,-93.62443803122537,3781.6667037078114,"{""name"": ""Blank Park Pond"", ""natural"": ""water"", ""water"": ""pond""}",-0.8852203683922932,1.3521515846593257,False
698158858,way,lake_or_pond,Oxbow Pond,41.30149085,-95.92957714780621,13782.88599487881,"{""boat"": ""no"", ""name"": ""Oxbow Pond"", ""natural"": ""water"", ""source"": ""Bing"", ""water"": ""pond""}",0.13740779375949494,103.27953611537748,True
